LOGVALUE,BATHS,BEDRMS,BUILT,UNITSF,LOT,ROOMS
12.21602298,2,3,2005,1600,22000,6
12.86099861,4,4,2009,3500,4000,9
11.88448902,2,3,2006,1364,7500,6
11.77528973,1,1,1985,650,43925.93365,4
11.91839057,2,3,1940,2100,11000,7
12.07254125,2,3,2004,2300,125000,7
13.45883561,4,6,1995,19591,44000,10
11.46163217,1,3,1980,980,5500,5
11.39639165,2,5,1985,1670,2500,8
12.76568843,3,6,2006,7824,9443,11
11.91839057,1,2,1950,1800,4400,4
13.08154138,4,6,2006,8299,35200,11
13.74293987,2,4,1950,2200,3700,8
11.73606902,2,3,1995,1700,22000,5
12.07254125,3,5,1960,2600,33000,10
11.56171563,1,3,1960,1300,7200,6
12.2010601,2,4,2007,3600,8925,9
11.69524702,1,2,1985,1140,43925.93365,4
12.67607627,3,3,2007,1650,1650,5
12.76568843,3,4,1990,2450,11000,8
11.89818787,2,3,1995,1800,18000,6
11.51292546,2,3,1995,1450,11050,5
13.45883561,2,4,1960,2200,11000,7
11.96400108,2,3,2000,1400,5500,6
11.28978191,1,3,1950,1120,11000,6
11.28978191,2,5,1920,2100,11000,8
11.51292546,3,3,1985,1706,38500,6
11.77528973,1,2,1960,1200,43925.93365,4
11.39639165,2,3,1960,1950,11000,6
11.91839057,2,3,1985,1800,88000,6
12.76568843,2,3,1995,2300,7500,8
12.10071213,2,3,2003,1900,43925.93365,6
12.18075484,2,3,1995,1860,12500,5
12.87390202,1,3,1960,1500,43925.93365,6
11.73606902,2,3,1970,2314.179989,6600,7
12.4292162,2,3,1940,1340,4000,6
11.81303006,2,3,1950,1020,4400,5
11.35040654,2,3,1940,2314.179989,450,6
12.14950229,2,3,1960,2800,5500,7
10.23995979,1,2,1950,800,5500,4
12.20607265,1,3,1950,2314.179989,88000,5
7.824046011,1,3,1980,2314.179989,308134,5
13.30468493,3,3,2004,2800,43925.93365,6
12.18075484,2,2,2006,1300,43925.93365,6
12.76568843,2,5,1990,3100,478557,8
11.8493977,2,2,1985,1150,43925.93365,5
10.81977828,2,3,1985,2084,4000,8
11.68687877,2,2,2005,2500,11000,7
13.30468493,2,5,1960,1900,11000,7
11.6977439,1,1,1975,2000,22000,4
13.48700649,2,3,1950,1400,5610,7
11.6351431,2,3,1985,1100,43925.93365,6
12.07254125,2,3,1980,2000,14520,6
12.54254488,2,3,2003,1300,44000,6
12.30138283,2,3,2002,1500,14000,5
11.15625052,2,2,1919,2314.179989,655202,7
5.857933154,2,3,1985,1850,5500,6
11.28978191,2,4,1995,2000,22000,6
13.09190417,2,3,2007,1650,43925.93365,5
12.4292162,3,5,2008,2314.179989,2200,9
12.67607627,2,4,1920,4000,22000,8
12.15477935,2,3,2005,2000,220000,7
11.00209984,2,3,1970,1200,8000,5
13.52782849,2,3,1960,1700,6000,6
11.22524339,2,3,1985,1500,5500,6
7.60090246,1,4,1970,980,8450,6
12.61153775,2,4,1995,1580,6000,7
12.25486281,1,3,1950,1200,88000,5
11.08214255,2,4,1980,3075,132000,8
10.91508846,1,3,1960,1269,7200,5
13.42984808,2,3,1985,2200,5000,6
11.22524339,1,3,1940,2000,5500,5
12.61153775,2,2,1980,1100,11000,4
13.76421726,2,3,1980,2000,43925.93365,6
11.9511804,2,2,2004,2314.179989,43925.93365,6
5.521460918,2,3,1975,2000,7480,7
11.51292546,1,4,1950,1600,5900,7
11.69524702,2,4,2008,2700,35200,8
12.32385568,2,3,1950,1684,12749,7
12.4292162,2,4,2007,2400,88000,7
12.07254125,1,3,1950,1446,1200,6
11.76756768,2,2,1960,2400,1210,5
10.59663473,1,3,1920,2314.179989,3600,6
12.1281111,1,3,1940,2314.179989,1200,6
9.210340372,1,2,1980,1120,600,5
12.14950229,1,3,1950,3000,22000,8
12.10071213,2,5,1960,900,40000,8
12.76568843,2,4,1950,3550,22000,8
12.40901349,2,3,2000,2379,11500,6
11.35040654,2,3,2008,1786,2640,6
12.10071213,2,3,1950,2700,5500,8
8.779557456,1,3,1995,780,3200,5
11.28978191,1,2,1940,1176,13200,5
12.57418197,2,3,1995,2200,88000,8
12.50246666,3,4,2004,3800,14000,8
12.07254125,3,3,1995,3100,43925.93365,7
12.50617724,2,3,1975,1550,7000,7
13.38472764,3,4,1985,3000,43925.93365,8
10.71441777,1,4,1919,1600,43925.93365,7
13.45883561,5,3,1995,12999,132000,8
12.1281111,1,3,1940,2000,11000,7
11.60823564,1,3,1960,2400,5000,5
11.28978191,1,3,1940,2300,14400,5
12.20607265,3,3,1990,6117,55000,9
12.50617724,2,4,1995,2400,5500,10
13.01700286,4,6,2007,11849,22000,11
12.69158046,3,4,1970,2500,2.00E+05,9
11.51292546,1,2,1950,1500,3276,5
11.9511804,2,3,1985,2314.179989,44000,5
11.6784399,2,3,2007,1850,11000,7
12.41308681,1,3,1950,1600,7208,9
11.51292546,1,2,1919,2314.179989,52800,6
12.70684793,2,4,2002,3000,30000,8
12.89921983,4,4,2004,9135,44000,9
